m,ef_c,ef_q,build_s,recall,qps,size_mb
4,20,101,1.273474499990698,0.56098,6988.682240114658,153.6696319580078
4,40,     101,1.894756832974963,0.6522220000000001,6834.806123536528,153.66959381103516
4,80,101,2.970124124956783,0.6826840000000001,6980.416820390102,153.66957473754883
8,20,101,1.827946457953658,0.755164,5123.927087868527,157.4009780883789
8,40,101,2.994737500033807,0.8176209999999999,4509.735305843992,157.40114974975586
8,80,101,4.8236195830395445,0.8401869999999999,4175.687819094125,157.40094375610352
16,20,101,1.8953755000256933,0.8079,4001.8818849834865,165.16086196899414
16,40,101,3.698878124996554,0.8838239999999999,3665.1381360628707,165.16086196899414
16,80,101,6.376793167029973,0.9164669999999998,3170.1433786746443,165.16086196899414
32,20,101,2.7559478749753907,0.8807279999999998,3543.886979166572,180.79798889160156
32,40,101,3.4161967909894884,0.8995849999999999,3248.506042502435,180.79798889160156
32,80,101,7.2644900839659385,0.9404150000000001,2524.3510208593675,180.79798889160156
