nlist,m_pq,nprobe,build_s,recall,qps,size_mb
64,15,1,4.360759000002872,0.28048,20056.883004845848,3.1835689544677734
64,15,4,4.360759000002872,0.351699,14236.132703658423,3.1835689544677734
64,15,16,4.360759000002872,0.364883,6950.015316083423,3.1835689544677734
64,15,64,4.360759000002872,0.36539,2341.7637770660663,3.1835689544677734
64,30,1,8.447864666988607,0.342127,13870.179384709145,5.020545959472656
64,30,4,8.447864666988607,0.453477,8993.70957478746,5.020545959472656
64,30,16,8.447864666988607,0.482599,3942.075084141506,5.020545959472656
64,30,64,8.447864666988607,0.484834,1267.5910141109707,5.020545959472656
64,60,1,2.757498040969949,0.44202700000000006,11470.217060489218,8.694499969482422
64,60,4,2.757498040969949,0.6441690000000001,6127.796889234771,8.694499969482422
64,60,16,2.757498040969949,0.705217,2216.368649284518,8.694499969482422
64,60,64,2.757498040969949,0.711775,641.4079040601562,8.694499969482422
256,15,1,4.556246375024784,0.252611,23145.554131707227,3.4047603607177734
256,15,4,4.556246375024784,0.328682,19405.829103737324,3.4047603607177734
256,15,16,4.556246375024784,0.34795699999999996,13122.931896548382,3.4047603607177734
256,15,64,4.556246375024784,0.350069,6303.2501525526295,3.4047603607177734
256,30,1,8.640330624999478,0.298433,16214.47645458895,5.241737365722656
256,30,4,8.640330624999478,0.420083,13234.692960153832,5.241737365722656
256,30,16,8.640330624999478,0.46279499999999996,8416.916824312237,5.241737365722656
256,30,64,8.640330624999478,0.471412,3614.077101297626,5.241737365722656
256,60,1,2.9661210830090567,0.35806800000000005,14652.491454204044,8.915691375732422
256,60,4,2.9661210830090567,0.582916,10532.94229637309,8.915691375732422
256,60,16,2.9661210830090567,0.685751,5297.257832124271,8.915691375732422
256,60,64,2.9661210830090567,0.711556,1799.9033901748933,8.915691375732422
1024,15,1,5.755797124991659,0.21531199999999998,18945.157321069175,4.289525985717773
1024,15,4,5.755797124991659,0.312661,17054.960739074217,4.289525985717773
1024,15,16,5.755797124991659,0.343082,13927.044793700286,4.289525985717773
1024,15,64,5.755797124991659,0.348163,8680.048526511217,4.289525985717773
1024,30,1,9.73069741600193,0.23192200000000002,14139.12854758926,6.126502990722656
1024,30,4,9.73069741600193,0.38336000000000003,12462.095756776822,6.126502990722656
1024,30,16,9.73069741600193,0.44944700000000004,9563.430213598942,6.126502990722656
1024,30,64,9.73069741600193,0.46781900000000004,5368.564115922067,6.126502990722656
1024,60,1,4.0146242910414,0.244221,13460.313444175265,9.800457000732422
1024,60,4,4.0146242910414,0.484155,11195.19166542376,9.800457000732422
1024,60,16,4.0146242910414,0.647383,7164.37521593205,9.800457000732422
1024,60,64,4.0146242910414,0.705967,3064.120709232364,9.800457000732422
