"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"504603046,320548","23149608,498226","ops/s",SIMPLE,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"440828566,304073","8822832,641198","ops/s",SIMPLE,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"398118051,606151","6941945,748718","ops/s",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"197887634,834287","7706516,917293","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"189620045,838066","19038532,938345","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"170331238,300183","2398060,746978","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"372271033,130819","11275971,044704","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"314972405,668828","10483738,752168","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",1,15,"291699063,781918","8306069,245051","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"37720,378737","259,700196","ops/s",SIMPLE,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"3010,447076","38,644123","ops/s",SIMPLE,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"326,221259","0,641123","ops/s",SIMPLE,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"32724,355884","5510,024532","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"2843,209926","14,856927","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"327,785624","0,420613","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",1,15,"23726,819345","24,083541","ops/s",JDK,10000
