"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: impl","Param: itemCount"
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"1209333378,195518","90499140,353218","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"878614516,505598","3178210,382314","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"816060651,400560","14949141,218503","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"1173301280,119758","21771692,752618","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"926291407,885721","29288482,725211","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.getThroughput","thrpt",4,15,"873776830,258694","18016153,076673","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"85274,665358","2045,412017","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"7387,316459","79,435737","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"753,146379","10,171304","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"59483,214135","404,219492","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"4228,130636","13,271306","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorThroughput","thrpt",4,15,"444,746938","3,440579","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"57002700,753513","5468211,568389","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"57601813,994846","4137440,183412","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"56822920,545992","7151191,987045","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"164489376,282180","2681755,992634","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"177970734,521400","3147794,806498","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mergeThroughput","thrpt",4,15,"174271223,792976","3200509,134152","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"202585312,986712","13511205,571546","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"171656107,501444","19873608,649951","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"202326163,590581","21840443,727444","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"391073471,068463","34631497,537437","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"398459532,781504","2128117,495258","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.mixedThroughput","thrpt",4,15,"356202534,423019","7038622,873197","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"52954831,371013","4716184,352898","ops/s",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"54230269,219473","2839703,364621","ops/s",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"49620537,722258","4490881,605704","ops/s",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"170295695,979341","12082683,993879","ops/s",JDK,10000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"159765319,175311","5158097,879436","ops/s",JDK,100000
"org.example.performance.HashMapBenchmark.putThroughput","thrpt",4,15,"136563111,789000","2443956,033100","ops/s",JDK,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"4,026432","0,099376","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"5,236623","0,130148","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"5,497029","0,121964","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"4,016030","0,043881","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"4,680100","0,055791","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.getAvg","avgt",4,15,"4,865817","0,032232","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,054276","0,000270","ms/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,633687","0,002944","ms/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"6,046572","0,053181","ms/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,074174","0,000692","ms/op",JDK,10000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"0,999164","0,013016","ms/op",JDK,100000
"org.example.performance.HashMapBenchmark.iteratorAvg","avgt",4,15,"9,525760","0,071515","ms/op",JDK,1000000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",4,15,"71,140591","7,722711","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",4,15,"71,879991","6,389542","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",4,15,"70,529011","8,454091","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",4,15,"24,598600","0,297109","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",4,15,"23,421568","0,656915","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.mergeAvg","avgt",4,15,"23,493111","0,296087","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",4,15,"18,842576","1,477435","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",4,15,"24,183821","1,333258","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",4,15,"21,110568","1,724186","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",4,15,"11,764443","1,762818","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",4,15,"10,210891","0,136492","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.mixedAvg","avgt",4,15,"10,095216","0,185302","ns/op",JDK,1000000
"org.example.performance.HashMapBenchmark.putAvg","avgt",4,15,"79,900543","10,135131","ns/op",CONCURRENT,10000
"org.example.performance.HashMapBenchmark.putAvg","avgt",4,15,"76,194066","2,944331","ns/op",CONCURRENT,100000
"org.example.performance.HashMapBenchmark.putAvg","avgt",4,15,"80,872351","7,558401","ns/op",CONCURRENT,1000000
"org.example.performance.HashMapBenchmark.putAvg","avgt",4,15,"25,108533","2,823010","ns/op",JDK,10000
"org.example.performance.HashMapBenchmark.putAvg","avgt",4,15,"24,265824","0,362558","ns/op",JDK,100000
"org.example.performance.HashMapBenchmark.putAvg","avgt",4,15,"25,185112","0,741330","ns/op",JDK,1000000
