"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: numDocs"
"org.example.performance.DiskBench.diskRankedAdjThroughput","thrpt",1,30,"261156,006962","23046,977228","ops/s",10000
"org.example.performance.DiskBench.diskRankedAdjThroughput","thrpt",1,30,"105109,790352","2758,818938","ops/s",30000
"org.example.performance.DiskBench.diskRankedAdjThroughput","thrpt",1,30,"32837,164407","877,547812","ops/s",100000
"org.example.performance.DiskBench.diskRankedAndThroughput","thrpt",1,30,"195426,398865","12220,412004","ops/s",10000
"org.example.performance.DiskBench.diskRankedAndThroughput","thrpt",1,30,"67949,104624","8269,229720","ops/s",30000
"org.example.performance.DiskBench.diskRankedAndThroughput","thrpt",1,30,"26158,572433","216,718084","ops/s",100000
"org.example.performance.DiskBench.diskRankedNearThroughput","thrpt",1,30,"277593,468757","7784,197679","ops/s",10000
"org.example.performance.DiskBench.diskRankedNearThroughput","thrpt",1,30,"101506,909020","855,421373","ops/s",30000
"org.example.performance.DiskBench.diskRankedNearThroughput","thrpt",1,30,"33050,923438","293,946769","ops/s",100000
"org.example.performance.DiskBench.diskRankedNotThroughput","thrpt",1,30,"73339,643610","1471,426150","ops/s",10000
"org.example.performance.DiskBench.diskRankedNotThroughput","thrpt",1,30,"25638,799338","249,011872","ops/s",30000
"org.example.performance.DiskBench.diskRankedNotThroughput","thrpt",1,30,"8673,221768","424,579247","ops/s",100000
"org.example.performance.DiskBench.diskRankedOrThroughput","thrpt",1,30,"73156,514437","1353,783901","ops/s",10000
"org.example.performance.DiskBench.diskRankedOrThroughput","thrpt",1,30,"23975,057812","1117,206927","ops/s",30000
"org.example.performance.DiskBench.diskRankedOrThroughput","thrpt",1,30,"8126,309877","752,014160","ops/s",100000
"org.example.performance.DiskBench.diskRankedTermThroughput","thrpt",1,30,"95688,766567","9030,973553","ops/s",10000
"org.example.performance.DiskBench.diskRankedTermThroughput","thrpt",1,30,"33398,517954","2085,552820","ops/s",30000
"org.example.performance.DiskBench.diskRankedTermThroughput","thrpt",1,30,"10823,862337","815,035090","ops/s",100000
"org.example.performance.DiskBench.diskRankedAdj","avgt",1,30,"4,044743","0,371000","us/op",10000
"org.example.performance.DiskBench.diskRankedAdj","avgt",1,30,"9,409136","0,101117","us/op",30000
"org.example.performance.DiskBench.diskRankedAdj","avgt",1,30,"28,701293","0,438818","us/op",100000
"org.example.performance.DiskBench.diskRankedAnd","avgt",1,30,"4,184438","0,053029","us/op",10000
"org.example.performance.DiskBench.diskRankedAnd","avgt",1,30,"12,608303","0,104714","us/op",30000
"org.example.performance.DiskBench.diskRankedAnd","avgt",1,30,"39,448640","0,406032","us/op",100000
"org.example.performance.DiskBench.diskRankedNear","avgt",1,30,"3,487288","0,010663","us/op",10000
"org.example.performance.DiskBench.diskRankedNear","avgt",1,30,"9,541055","0,178420","us/op",30000
"org.example.performance.DiskBench.diskRankedNear","avgt",1,30,"31,209036","0,398116","us/op",100000
"org.example.performance.DiskBench.diskRankedNot","avgt",1,30,"12,767838","0,181295","us/op",10000
"org.example.performance.DiskBench.diskRankedNot","avgt",1,30,"38,620645","0,258436","us/op",30000
"org.example.performance.DiskBench.diskRankedNot","avgt",1,30,"114,843890","5,722458","us/op",100000
"org.example.performance.DiskBench.diskRankedOr","avgt",1,30,"12,964958","0,076960","us/op",10000
"org.example.performance.DiskBench.diskRankedOr","avgt",1,30,"37,443424","0,770164","us/op",30000
"org.example.performance.DiskBench.diskRankedOr","avgt",1,30,"114,041285","4,272811","us/op",100000
"org.example.performance.DiskBench.diskRankedTerm","avgt",1,30,"10,506991","0,268385","us/op",10000
"org.example.performance.DiskBench.diskRankedTerm","avgt",1,30,"32,323569","1,020332","us/op",30000
"org.example.performance.DiskBench.diskRankedTerm","avgt",1,30,"86,017717","2,789346","us/op",100000
