"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: numDocs"
"org.example.performance.MemBench.rankedAdjThroughput","thrpt",1,30,"953416,485218","22743,254796","ops/s",10000
"org.example.performance.MemBench.rankedAdjThroughput","thrpt",1,30,"485763,262895","13693,015208","ops/s",30000
"org.example.performance.MemBench.rankedAdjThroughput","thrpt",1,30,"117159,984265","8321,999018","ops/s",100000
"org.example.performance.MemBench.rankedAndThroughput","thrpt",1,30,"1022198,292210","37471,744643","ops/s",10000
"org.example.performance.MemBench.rankedAndThroughput","thrpt",1,30,"451141,877170","23914,122959","ops/s",30000
"org.example.performance.MemBench.rankedAndThroughput","thrpt",1,30,"111443,197617","4009,113170","ops/s",100000
"org.example.performance.MemBench.rankedNearThroughput","thrpt",1,30,"816713,573725","55312,057227","ops/s",10000
"org.example.performance.MemBench.rankedNearThroughput","thrpt",1,30,"456022,009725","8203,310378","ops/s",30000
"org.example.performance.MemBench.rankedNearThroughput","thrpt",1,30,"117415,665214","3622,156755","ops/s",100000
"org.example.performance.MemBench.rankedNotThroughput","thrpt",1,30,"100498,568072","1465,859721","ops/s",10000
"org.example.performance.MemBench.rankedNotThroughput","thrpt",1,30,"50766,837343","1929,096945","ops/s",30000
"org.example.performance.MemBench.rankedNotThroughput","thrpt",1,30,"14100,428131","678,587641","ops/s",100000
"org.example.performance.MemBench.rankedOrThroughput","thrpt",1,30,"94852,676583","2421,170967","ops/s",10000
"org.example.performance.MemBench.rankedOrThroughput","thrpt",1,30,"54826,190103","1120,342082","ops/s",30000
"org.example.performance.MemBench.rankedOrThroughput","thrpt",1,30,"16135,379499","116,481882","ops/s",100000
"org.example.performance.MemBench.rankedTermThroughput","thrpt",1,30,"261795,315722","13915,779675","ops/s",10000
"org.example.performance.MemBench.rankedTermThroughput","thrpt",1,30,"95333,621659","4133,146255","ops/s",30000
"org.example.performance.MemBench.rankedTermThroughput","thrpt",1,30,"31577,170975","3115,165799","ops/s",100000
"org.example.performance.MemBench.rankedAdj","avgt",1,30,"1,200709","0,214929","us/op",10000
"org.example.performance.MemBench.rankedAdj","avgt",1,30,"2,309328","0,274791","us/op",30000
"org.example.performance.MemBench.rankedAdj","avgt",1,30,"8,053733","0,277636","us/op",100000
"org.example.performance.MemBench.rankedAnd","avgt",1,30,"0,946333","0,016399","us/op",10000
"org.example.performance.MemBench.rankedAnd","avgt",1,30,"2,162249","0,041564","us/op",30000
"org.example.performance.MemBench.rankedAnd","avgt",1,30,"9,892583","1,146843","us/op",100000
"org.example.performance.MemBench.rankedNear","avgt",1,30,"1,450365","0,271761","us/op",10000
"org.example.performance.MemBench.rankedNear","avgt",1,30,"2,528664","0,376986","us/op",30000
"org.example.performance.MemBench.rankedNear","avgt",1,30,"10,712585","2,117823","us/op",100000
"org.example.performance.MemBench.rankedNot","avgt",1,30,"13,206646","2,329294","us/op",10000
"org.example.performance.MemBench.rankedNot","avgt",1,30,"27,108005","4,662113","us/op",30000
"org.example.performance.MemBench.rankedNot","avgt",1,30,"73,223692","5,407069","us/op",100000
"org.example.performance.MemBench.rankedOr","avgt",1,30,"11,835640","1,867852","us/op",10000
"org.example.performance.MemBench.rankedOr","avgt",1,30,"20,111111","1,787545","us/op",30000
"org.example.performance.MemBench.rankedOr","avgt",1,30,"84,208436","12,582517","us/op",100000
"org.example.performance.MemBench.rankedTerm","avgt",1,30,"3,708441","0,203120","us/op",10000
"org.example.performance.MemBench.rankedTerm","avgt",1,30,"9,950979","0,759207","us/op",30000
"org.example.performance.MemBench.rankedTerm","avgt",1,30,"30,450821","1,918017","us/op",100000
